Time Bucket (America/Chicago),Vue-Mains_A (kWatts),Vue-Mains_B (kWatts),Vue-Mains_C (kWatts),Vue-Cooktop/Range/Oven/Stove-Oven 4 (kWatts),Vue-Air Conditioner-AC Up Aux Heat - 8 (kWatts),Vue-Air Conditioner-AC Down Compressor - 10 (kWatts),Vue-Cooktop/Range/Oven/Stove-Stove 16 (kWatts),Vue-Dishwasher-Dishwasher 24 (kWatts),Vue-Kitchen-Kitchen 26 (kWatts),Vue-Fridge/Freezer-Refrigerator (kWatts),Vue-Room/Multi-use Circuit-Annie Marie's Room (kWatts),Vue-Water Heater-Water Heater 19 (kWatts),Vue-Air Conditioner-AC Up Compressor - 11 (kWatts),Vue-Air Conditioner-AC Up Air Handler - 7 (kWatts),Vue-Air Conditioner-AC Down Air Handler - 3 (kWatts),Vue-Garage/Shop/Barn/Shed-Garage 35 (kWatts),Vue-Computer/Network-Gym 39 (kWatts),Vue-Computer/Network-Bruno Office 34 (kWatts),Vue-Air Conditioner-AC Down Aux Heat - 15 (kWatts)
06/04/2026 05:28:12,4.0338,4.1839,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0704,3.7478,2.4932,0.2966,0.0207,0.0285,0.1622,0.1466,0.0000
06/04/2026 05:28:13,4.0320,4.1880,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0706,3.7440,2.4971,0.2948,0.0000,0.0287,0.1629,0.1491,0.0000
06/04/2026 05:28:14,4.0346,4.1821,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0707,3.7434,2.4990,0.2968,0.0204,0.0280,0.1622,0.1423,0.0000
06/04/2026 05:28:15,4.0418,4.1889,No CT,0.0000,0.0000,0.0000,0.0000,0.0051,0.0000,0.0000,0.0696,3.7505,2.5008,0.2963,0.0000,0.0290,0.1621,0.1420,0.0000
06/04/2026 05:28:16,4.0412,4.1890,No CT,0.0000,0.0000,0.0000,0.0000,0.0052,0.0000,0.0000,0.0694,3.7517,2.4980,0.2958,0.0212,0.0287,0.1626,0.1425,0.0000
06/04/2026 05:28:17,4.0306,4.1796,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0688,3.7448,2.4949,0.2959,0.0197,0.0289,0.1622,0.1420,0.0000
06/04/2026 05:28:18,4.0247,4.2440,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0697,3.7383,2.4925,0.2941,0.0000,0.0281,0.1605,0.1410,0.0000
06/04/2026 05:28:19,4.0212,4.5876,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0693,3.7356,2.4930,0.2945,0.0188,0.0291,0.1589,0.1478,0.0000
06/04/2026 05:28:20,4.0239,4.5906,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0698,3.7335,2.4956,0.2947,0.0000,0.0289,0.1596,0.1440,0.0000
06/04/2026 05:28:21,4.0300,4.4959,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0707,3.7402,2.4959,0.2971,0.0202,0.0292,0.1595,0.1453,0.0000
06/04/2026 05:28:22,4.0315,4.1780,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0684,3.7381,2.4957,0.2957,0.0190,0.0278,0.1609,0.1402,0.0000
06/04/2026 05:28:23,4.0283,4.1770,No CT,0.0000,0.0000,0.0000,0.0000,0.0058,0.0000,0.0000,0.0692,3.7410,2.4905,0.2960,0.0183,0.0281,0.1623,0.1424,0.0000
06/04/2026 05:28:24,4.0284,4.1750,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0698,3.7350,2.4923,0.2943,0.0210,0.0278,0.1615,0.1421,0.0000
06/04/2026 05:28:25,4.0328,4.1853,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0714,3.7400,2.4932,0.2974,0.0000,0.0270,0.1614,0.1492,0.0000
06/04/2026 05:28:26,4.0382,4.1893,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0729,3.7482,2.4993,0.2971,0.0182,0.0279,0.1627,0.1442,0.0000
06/04/2026 05:28:27,4.0467,4.1897,No CT,0.0000,0.0000,0.0000,0.0000,0.0054,0.0000,0.0000,0.0769,3.7506,2.4989,0.2956,0.0200,0.0286,0.1617,0.1453,0.0000
06/04/2026 05:28:28,4.0392,4.1922,No CT,0.0000,0.0000,0.0000,0.0000,0.0051,0.0000,0.0000,0.0765,3.7486,2.4927,0.2950,0.0000,0.0281,0.1625,0.1515,0.0000
06/04/2026 05:28:29,4.0242,4.1699,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0724,3.7309,2.4854,0.2911,0.0188,0.0279,0.1607,0.1424,0.0000
06/04/2026 05:28:30,4.0408,4.1879,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0709,3.7511,2.4985,0.2963,0.0000,0.0283,0.1618,0.1418,0.0000
06/04/2026 05:28:31,4.0351,4.1935,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0713,3.7465,2.4950,0.2946,0.0204,0.0287,0.1616,0.1471,0.0000
06/04/2026 05:28:32,4.0288,4.2347,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0053,0.0000,0.0711,3.7413,2.4895,0.2961,0.0183,0.0279,0.1616,0.1460,0.0000
06/04/2026 05:28:33,4.0271,4.2457,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0717,3.7399,2.4942,0.2928,0.0195,0.0285,0.1604,0.1441,0.0000
06/04/2026 05:28:34,4.0279,4.2519,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0706,3.7382,2.4942,0.2957,0.0204,0.0280,0.1620,0.1433,0.0000
06/04/2026 05:28:35,4.0377,4.2557,No CT,0.0000,0.0000,0.0000,0.0000,0.0058,0.0000,0.0000,0.0708,3.7466,2.4980,0.2952,0.0210,0.0288,0.1612,0.1413,0.0000
06/04/2026 05:28:36,4.0392,4.2455,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0715,3.7537,2.5010,0.2944,0.0000,0.0282,0.1622,0.1447,0.0000
06/04/2026 05:28:37,4.0353,4.2226,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0726,3.7435,2.4967,0.2957,0.0190,0.0286,0.1618,0.1454,0.0000
06/04/2026 05:28:38,4.0333,4.1805,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0717,3.7402,2.4960,0.2953,0.0000,0.0278,0.1619,0.1429,0.0000
06/04/2026 05:28:39,4.0307,4.1773,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0711,3.7386,2.4971,0.2929,0.0197,0.0287,0.1624,0.1428,0.0000
06/04/2026 05:28:40,4.0355,4.1855,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0715,3.7378,2.4988,0.2952,0.0196,0.0285,0.1627,0.1460,0.0000
06/04/2026 05:28:41,4.0377,4.1875,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0709,3.7430,2.5012,0.2946,0.0195,0.0285,0.1624,0.1451,0.0000
06/04/2026 05:28:42,4.0398,4.1876,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0713,3.7457,2.5031,0.2970,0.0201,0.0298,0.1620,0.1435,0.0000
06/04/2026 05:28:43,4.0379,4.1910,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0708,3.7431,2.5001,0.2964,0.0000,0.0294,0.1625,0.1484,0.0000
06/04/2026 05:28:44,4.0305,4.1799,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0716,3.7402,2.4956,0.2969,0.0199,0.0286,0.1626,0.1429,0.0000
06/04/2026 05:28:45,4.0325,4.1751,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0713,3.7382,2.5016,0.2950,0.0193,0.0281,0.1616,0.1409,0.0000
06/04/2026 05:28:46,4.0391,4.1814,No CT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0766,3.7374,2.5012,0.2946,0.0209,0.0287,0.1612,0.1413,0.0000
